State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Proejcted Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
GA,"23,831","2,703",0.7,0.72,"7,210","15,520",752,"1,728","7,702,432","1,300,430","3,080,973","634,801","134,696","42,320",5.87 ,2.73 ,1.78 ,"21,160",2.93 ,1.36 ,0.89 ,"13,800",1.91 ,0.89 ,0.58 ,"8,980",11.94 ,5.20 ,3.32 ,"4,490",5.97 ,2.60 ,1.66 ,"2,928",3.89 ,1.69 ,1.08 
HI,"2,623",219,0.7,0.67,795,"1,709",73,146,"1,114,075","238,126","445,630","93,718","20,385","6,248",7.86 ,3.66 ,2.38 ,"3,124",3.93 ,1.83 ,1.19 ,"2,037",2.56 ,1.19 ,0.78 ,"1,359",18.62 ,9.31 ,6.21 ,680,9.32 ,4.66 ,3.11 ,443,6.07 ,3.03 ,2.02 
IA,"9,309",622,0.56,0.53,"4,100","6,705",293,458,"2,389,398","501,026","955,759","200,633","43,546","13,376",3.26 ,1.99 ,1.44 ,"6,688",1.63 ,1.00 ,0.72 ,"4,362",1.06 ,0.65 ,0.47 ,"2,903",9.91 ,6.34 ,4.67 ,"1,452",4.96 ,3.17 ,2.33 ,947,3.23 ,2.07 ,1.52 
ID,"3,267",333,0.51,0.53,"1,607","2,437",155,244,"1,222,764","242,449","489,106","102,143","22,033","6,810",4.24 ,2.79 ,2.08 ,"3,405",2.12 ,1.40 ,1.04 ,"2,220",1.38 ,0.91 ,0.68 ,"1,469",9.48 ,6.02 ,4.41 ,734,4.74 ,3.01 ,2.20 ,479,3.09 ,1.96 ,1.44 
IL,"30,006","3,426",0.58,0.59,"12,580","21,293","1,410","2,418","9,895,529","1,847,932","3,958,212","822,282","176,247","54,819",4.36 ,2.57 ,1.83 ,"27,409",2.18 ,1.29 ,0.91 ,"17,876",1.42 ,0.84 ,0.60 ,"11,750",8.33 ,4.86 ,3.43 ,"5,875",4.17 ,2.43 ,1.71 ,"3,831",2.72 ,1.58 ,1.12 
IN,"17,433","2,358",0.56,0.59,"7,685","12,559",974,"1,666","5,036,563","968,568","2,014,625","419,584","90,211","27,972",3.64 ,2.23 ,1.60 ,"13,986",1.82 ,1.11 ,0.80 ,"9,121",1.19 ,0.73 ,0.52 ,"6,014",6.17 ,3.61 ,2.55 ,"3,007",3.09 ,1.80 ,1.28 ,"1,961",2.01 ,1.18 ,0.83 
KS,"9,120",878,0.53,0.55,"4,310","6,715",391,634,"2,185,546","426,273","874,218","182,300","39,253","12,153",2.82 ,1.81 ,1.33 ,"6,077",1.41 ,0.90 ,0.67 ,"3,963",0.92 ,0.59 ,0.43 ,"2,617",6.69 ,4.13 ,2.98 ,"1,308",3.35 ,2.06 ,1.49 ,853,2.18 ,1.35 ,0.97 
KY,"13,150","1,447",0.6,0.65,"5,291","9,220",504,976,"3,411,784","672,706","1,364,714","284,858","61,409","18,991",3.59 ,2.06 ,1.44 ,"9,495",1.79 ,1.03 ,0.72 ,"6,193",1.17 ,0.67 ,0.47 ,"4,094",8.12 ,4.19 ,2.83 ,"2,047",4.06 ,2.10 ,1.41 ,"1,335",2.65 ,1.37 ,0.92 
LA,"13,881","1,518",0.57,0.58,"5,990","9,936",632,"1,075","3,550,728","655,848","1,420,291","294,778","63,111","19,652",3.28 ,1.98 ,1.42 ,"9,826",1.64 ,0.99 ,0.71 ,"6,408",1.07 ,0.64 ,0.46 ,"4,207",6.66 ,3.91 ,2.77 ,"2,104",3.33 ,1.96 ,1.39 ,"1,372",2.17 ,1.28 ,0.90 
MA,"13,759","1,555",0.74,0.63,"3,603","8,681",571,"1,063","5,405,787","1,049,751","2,162,315","450,730","97,008","30,049",8.34 ,3.46 ,2.18 ,"15,024",4.17 ,1.73 ,1.09 ,"9,798",2.72 ,1.13 ,0.71 ,"6,467",11.33 ,6.08 ,4.16 ,"3,234",5.66 ,3.04 ,2.08 ,"2,109",3.69 ,1.98 ,1.36 
MD,"11,249","1,227",0.71,0.66,"3,296","7,273",422,825,"4,648,466","849,185","1,859,386","385,552","82,452","25,703",7.80 ,3.53 ,2.28 ,"12,852",3.90 ,1.77 ,1.14 ,"8,382",2.54 ,1.15 ,0.75 ,"5,497",13.03 ,6.66 ,4.48 ,"2,748",6.51 ,3.33 ,2.24 ,"1,792",4.25 ,2.17 ,1.46 
ME,"3,310",288,0.7,0.63,980,"2,145",107,198,"1,073,331","250,131","429,332","91,078","20,014","6,072",6.20 ,2.83 ,1.83 ,"3,036",3.10 ,1.42 ,0.92 ,"1,980",2.02 ,0.92 ,0.60 ,"1,334",12.47 ,6.74 ,4.63 ,667,6.23 ,3.37 ,2.32 ,435,4.07 ,2.20 ,1.51 
MI,"24,286","2,749",0.64,0.64,"8,855","16,571",976,"1,863","7,717,047","1,575,233","3,086,819","646,354","139,867","43,090",4.87 ,2.60 ,1.77 ,"21,545",2.43 ,1.30 ,0.89 ,"14,051",1.59 ,0.85 ,0.58 ,"9,324",9.55 ,5.00 ,3.39 ,"4,662",4.78 ,2.50 ,1.70 ,"3,041",3.12 ,1.63 ,1.11 
MN,"13,423","1,277",0.66,0.65,"4,605","9,014",452,864,"4,204,388","803,718","1,681,755","350,075","75,218","23,338",5.07 ,2.59 ,1.74 ,"11,669",2.53 ,1.29 ,0.87 ,"7,610",1.65 ,0.84 ,0.57 ,"5,015",11.10 ,5.80 ,3.93 ,"2,507",5.55 ,2.90 ,1.96 ,"1,635",3.62 ,1.89 ,1.28 
MO,"17,087","2,092",0.6,0.58,"6,884","11,985",874,"1,483","4,685,891","956,032","1,874,356","392,457","84,921","26,164",3.80 ,2.18 ,1.53 ,"13,082",1.90 ,1.09 ,0.77 ,"8,532",1.24 ,0.71 ,0.50 ,"5,661",6.48 ,3.82 ,2.71 ,"2,831",3.24 ,1.91 ,1.35 ,"1,846",2.11 ,1.24 ,0.88 
MS,"11,877",931,0.56,0.58,"5,255","8,566",392,661,"2,259,919","437,027","903,968","188,361","40,522","12,557",2.39 ,1.47 ,1.06 ,"6,279",1.19 ,0.73 ,0.53 ,"4,095",0.78 ,0.48 ,0.34 ,"2,701",6.89 ,4.09 ,2.90 ,"1,351",3.45 ,2.04 ,1.45 ,881,2.25 ,1.33 ,0.95 
MT,"3,667",248,0.58,0.55,"1,541","2,604",113,180,"803,704","176,138","321,482","67,775","14,785","4,518",2.93 ,1.74 ,1.23 ,"2,259",1.47 ,0.87 ,0.62 ,"1,473",0.96 ,0.57 ,0.40 ,986,8.73 ,5.48 ,3.98 ,493,4.36 ,2.74 ,1.99 ,321,2.84 ,1.78 ,1.29 
NC,"21,065","3,168",0.7,0.71,"6,288","13,676",911,"2,040","7,762,882","1,514,937","3,105,153","647,547","139,441","43,170",6.87 ,3.16 ,2.05 ,"21,585",3.43 ,1.58 ,1.02 ,"14,077",2.24 ,1.03 ,0.67 ,"9,296",10.20 ,4.56 ,2.93 ,"4,648",5.10 ,2.28 ,1.47 ,"3,031",3.33 ,1.49 ,0.96 
ND,"3,371",278,0.58,0.66,"1,420","2,395",95,187,"575,105","107,196","230,042","47,781","10,239","3,185",2.24 ,1.33 ,0.94 ,"1,593",1.12 ,0.67 ,0.47 ,"1,039",0.73 ,0.43 ,0.31 ,683,7.19 ,3.65 ,2.46 ,341,3.59 ,1.82 ,1.23 ,223,2.35 ,1.19 ,0.80 
NE,"5,872",548,0.55,0.63,"2,630","4,251",202,375,"1,424,102","278,598","569,641","118,819","25,593","7,921",3.01 ,1.86 ,1.35 ,"3,961",1.51 ,0.93 ,0.67 ,"2,583",0.98 ,0.61 ,0.44 ,"1,706",8.45 ,4.55 ,3.11 ,853,4.22 ,2.27 ,1.56 ,556,2.75 ,1.48 ,1.01 
NH,"2,598",252,0.64,0.56,939,"1,768",110,181,"1,067,991","219,293","427,196","89,500","19,380","5,967",6.35 ,3.38 ,2.30 ,"2,983",3.18 ,1.69 ,1.15 ,"1,946",2.07 ,1.10 ,0.75 ,"1,292",11.75 ,7.14 ,5.13 ,646,5.87 ,3.57 ,2.56 ,421,3.83 ,2.33 ,1.67 
NJ,"20,450","1,891",0.67,0.55,"6,688","13,569",846,"1,368","6,960,340","1,353,999","2,784,136","580,438","124,947","38,696",5.79 ,2.85 ,1.89 ,"19,348",2.89 ,1.43 ,0.95 ,"12,618",1.89 ,0.93 ,0.62 ,"8,330",9.85 ,6.09 ,4.41 ,"4,165",4.92 ,3.04 ,2.20 ,"2,716",3.21 ,1.99 ,1.44 
NM,"3,460",460,0.6,0.59,"1,368","2,414",188,324,"1,587,101","328,682","634,840","133,110","28,850","8,874",6.49 ,3.68 ,2.56 ,"4,437",3.24 ,1.84 ,1.28 ,"2,894",2.12 ,1.20 ,0.84 ,"1,923",10.23 ,5.94 ,4.18 ,962,5.12 ,2.97 ,2.09 ,627,3.34 ,1.94 ,1.36 
NV,"5,610","1,118",0.72,0.78,"1,548","3,579",248,683,"2,217,723","420,330","887,089","184,519","39,611","12,301",7.95 ,3.44 ,2.19 ,"6,151",3.97 ,1.72 ,1.10 ,"4,011",2.59 ,1.12 ,0.71 ,"2,641",10.65 ,3.87 ,2.36 ,"1,320",5.32 ,1.93 ,1.18 ,861,3.47 ,1.26 ,0.77 
NY,"51,713","4,420",0.78,0.62,"11,549","31,631","1,670","3,045","15,594,924","3,008,351","6,237,970","1,299,532","279,491","86,635",7.50 ,2.74 ,1.68 ,"43,318",3.75 ,1.37 ,0.84 ,"28,251",2.45 ,0.89 ,0.55 ,"18,633",11.16 ,6.12 ,4.22 ,"9,316",5.58 ,3.06 ,2.11 ,"6,076",3.64 ,2.00 ,1.37 
OH,"28,127","3,622",0.59,0.64,"11,419","19,773","1,297","2,459","8,982,588","1,844,642","3,593,035","752,773","163,004","50,185",4.39 ,2.54 ,1.78 ,"25,092",2.20 ,1.27 ,0.89 ,"16,365",1.43 ,0.83 ,0.58 ,"10,867",8.38 ,4.42 ,3.00 ,"5,433",4.19 ,2.21 ,1.50 ,"3,544",2.73 ,1.44 ,0.98 
OK,"10,781","1,164",0.56,0.63,"4,786","7,783",427,796,"2,939,976","574,330","1,175,990","245,263","52,820","16,351",3.42 ,2.10 ,1.52 ,"8,175",1.71 ,1.05 ,0.76 ,"5,332",1.11 ,0.69 ,0.49 ,"3,521",8.25 ,4.42 ,3.02 ,"1,761",4.12 ,2.21 ,1.51 ,"1,148",2.69 ,1.44 ,0.99 
OR,"6,789",837,0.63,0.6,"2,483","4,636",336,587,"3,160,871","655,089","1,264,348","265,119","57,467","17,675",7.12 ,3.81 ,2.60 ,"8,837",3.56 ,1.91 ,1.30 ,"5,763",2.32 ,1.24 ,0.85 ,"3,831",11.40 ,6.53 ,4.58 ,"1,916",5.70 ,3.26 ,2.29 ,"1,249",3.72 ,2.13 ,1.49 
PA,"32,817","3,643",0.64,0.61,"11,721","22,269","1,427","2,535","10,101,588","2,181,022","4,040,635","850,599","185,234","56,707",4.84 ,2.55 ,1.73 ,"28,353",2.42 ,1.27 ,0.86 ,"18,491",1.58 ,0.83 ,0.56 ,"12,349",8.65 ,4.87 ,3.39 ,"6,174",4.33 ,2.44 ,1.69 ,"4,027",2.82 ,1.59 ,1.11 
PR,"7,769",739,0.57,0.64,"3,355","5,562",262,501,"2,737,636","629,621","1,095,054","231,986","50,896","15,466",4.61 ,2.78 ,1.99 ,"7,733",2.30 ,1.39 ,1.00 ,"5,043",1.50 ,0.91 ,0.65 ,"3,393",12.95 ,6.77 ,4.59 ,"1,697",6.48 ,3.39 ,2.30 ,"1,106",4.22 ,2.21 ,1.50 
RI,"2,117",279,0.7,0.72,644,"1,381",77,178,"845,556","170,144","338,222","70,728","15,281","4,715",7.32 ,3.41 ,2.23 ,"2,358",3.66 ,1.71 ,1.11 ,"1,538",2.39 ,1.11 ,0.73 ,"1,019",13.23 ,5.72 ,3.65 ,509,6.61 ,2.86 ,1.82 ,332,4.31 ,1.87 ,1.19 
SC,"11,457","1,459",0.65,0.68,"4,066","7,762",469,964,"3,802,489","795,256","1,520,996","319,209","69,262","21,281",5.23 ,2.74 ,1.86 ,"10,640",2.62 ,1.37 ,0.93 ,"6,939",1.71 ,0.89 ,0.61 ,"4,617",9.84 ,4.79 ,3.16 ,"2,309",4.92 ,2.40 ,1.58 ,"1,506",3.21 ,1.56 ,1.03 
SD,"4,247",150,0.61,0.5,"1,663","2,955",75,112,"644,483","132,118","257,793","54,001","11,691","3,600",2.16 ,1.22 ,0.85 ,"1,800",1.08 ,0.61 ,0.42 ,"1,174",0.71 ,0.40 ,0.28 ,779,10.39 ,6.96 ,5.19 ,390,5.20 ,3.48 ,2.60 ,254,3.39 ,2.27 ,1.69 
TN,"18,401","2,309",0.63,0.74,"6,723","12,562",603,"1,456","5,099,734","1,013,356","2,039,894","426,087","91,931","28,406",4.23 ,2.26 ,1.54 ,"14,203",2.11 ,1.13 ,0.77 ,"9,263",1.38 ,0.74 ,0.50 ,"6,129",10.16 ,4.21 ,2.65 ,"3,064",5.08 ,2.10 ,1.33 ,"1,998",3.31 ,1.37 ,0.87 
TX,"55,588","7,149",0.61,0.64,"21,803","38,695","2,573","4,861","20,206,495","3,215,906","8,082,598","1,657,898","349,829","110,527",5.07 ,2.86 ,1.99 ,"55,263",2.53 ,1.43 ,0.99 ,"36,041",1.65 ,0.93 ,0.65 ,"23,322",9.06 ,4.80 ,3.26 ,"11,661",4.53 ,2.40 ,1.63 ,"7,605",2.96 ,1.56 ,1.06 
UT,"4,869",687,0.57,0.52,"2,116","3,493",328,507,"2,082,530","307,095","833,012","169,942","35,615","11,329",5.35 ,3.24 ,2.33 ,"5,665",2.68 ,1.62 ,1.16 ,"3,694",1.75 ,1.06 ,0.76 ,"2,374",7.24 ,4.68 ,3.46 ,"1,187",3.62 ,2.34 ,1.73 ,774,2.36 ,1.53 ,1.13 
VA,"17,469","2,007",0.69,0.65,"5,373","11,421",698,"1,353","6,499,678","1,187,867","2,599,871","539,114","115,296","35,941",6.69 ,3.15 ,2.06 ,"17,970",3.34 ,1.57 ,1.03 ,"11,720",2.18 ,1.03 ,0.67 ,"7,686",11.01 ,5.68 ,3.83 ,"3,843",5.51 ,2.84 ,1.91 ,"2,506",3.59 ,1.85 ,1.25 
VT,"1,305",94,0.64,0.45,475,890,52,73,"504,856","109,551","201,942","42,532","9,267","2,835",5.97 ,3.19 ,2.17 ,"1,418",2.99 ,1.59 ,1.09 ,925,1.95 ,1.04 ,0.71 ,618,11.88 ,8.47 ,6.57 ,309,5.94 ,4.23 ,3.29 ,201,3.87 ,2.75 ,2.14 
WA,"11,808","1,493",0.65,0.65,"4,123","7,966",525,"1,009","5,554,591","1,029,040","2,221,836","461,252","98,782","30,750",7.46 ,3.86 ,2.60 ,"15,375",3.73 ,1.93 ,1.30 ,"10,027",2.43 ,1.26 ,0.85 ,"6,585",12.54 ,6.53 ,4.41 ,"3,293",6.27 ,3.26 ,2.21 ,"2,147",4.09 ,2.13 ,1.44 
WI,"11,669","1,506",0.58,0.55,"4,850","8,260",676,"1,091","4,469,267","896,724","1,787,707","373,740","80,722","24,916",5.14 ,3.02 ,2.14 ,"12,458",2.57 ,1.51 ,1.07 ,"8,125",1.68 ,0.98 ,0.70 ,"5,381",7.96 ,4.93 ,3.57 ,"2,691",3.98 ,2.47 ,1.79 ,"1,755",2.60 ,1.61 ,1.17 
WV,"6,224",643,0.6,0.65,"2,466","4,345",223,433,"1,459,974","336,326","583,990","123,738","27,153","8,249",3.35 ,1.90 ,1.33 ,"4,125",1.67 ,0.95 ,0.66 ,"2,690",1.09 ,0.62 ,0.43 ,"1,810",8.12 ,4.18 ,2.81 ,905,4.06 ,2.09 ,1.41 ,590,2.65 ,1.36 ,0.92 
WY,"1,951",102,0.52,0.36,931,"1,441",65,84,"444,842","84,239","177,937","37,009","7,944","2,467",2.65 ,1.71 ,1.26 ,"1,234",1.33 ,0.86 ,0.63 ,805,0.86 ,0.56 ,0.41 ,530,8.15 ,6.31 ,5.20 ,265,4.08 ,3.15 ,2.60 ,173,2.66 ,2.06 ,1.70 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Based on a 50% reduction in occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
