Month,Percentage,City,State,Percentage of Total Beds Needed,Percentage of Total ICU Beds Needed
6,0.2,Grand Forks,ND,0.38,2.52
6,0.2,Grand Junction,CO,1.09,2.2
6,0.2,Grand Rapids,MI,1.06,2.34
6,0.2,Great Falls,MT,0.35,1.42
6,0.2,Greeley,CO,1.03,2.22
6,0.2,Green Bay,WI,1.14,2.21
6,0.2,Greensboro,NC,1.15,2.25
6,0.2,Greenville,NC,0.96,1.21
6,0.2,Greenville,SC,0.94,1.6
6,0.2,Gulfport,MS,0.72,1.18
6,0.2,Hackensack,NJ,0.76,3.57
6,0.2,Harlingen,TX,1.01,2.06
6,0.2,Harrisburg,PA,0.96,2.41
6,0.2,Hartford,CT,1.17,2.24
6,0.2,Hattiesburg,MS,0.43,1.68
6,0.2,Hickory,NC,1.07,2.2
6,0.2,Hinsdale,IL,1.02,1.31
6,0.2,Honolulu,HI,1.19,3.1
6,0.2,Houma,LA,0.81,1.88
6,0.2,Houston,TX,1.02,1.68
6,0.2,Hudson,FL,0.87,1.48
6,0.2,Huntington,WV,0.5,1.06
6,0.2,Huntsville,AL,0.78,1.23
6,0.2,Idaho Falls,ID,0.95,2.25
6,0.2,Indianapolis,IN,0.84,1.23
6,0.2,Iowa City,IA,0.55,1.13
6,0.2,Jackson,MS,0.5,1.17
6,0.2,Jackson,TN,0.68,1.37
6,0.2,Jacksonville,FL,0.75,1.29
6,0.2,Johnson City,TN,0.69,1.53
6,0.2,Johnstown,PA,0.66,2.48
6,0.2,Joliet,IL,1.03,2.03
6,0.2,Jonesboro,AR,0.53,1.49
6,0.2,Joplin,MO,0.76,1.41
6,0.2,Kalamazoo,MI,0.99,2.26
6,0.2,Kansas City,MO,0.8,1.46
6,0.2,Kettering,OH,1.02,1.49
6,0.2,Kingsport,TN,0.72,1.28
6,0.2,Knoxville,TN,0.98,2.29
6,0.2,La Crosse,WI,1.21,2.19
6,0.2,Lafayette,IN,1.19,3.38
6,0.2,Lafayette,LA,0.77,1.5
6,0.2,Lake Charles,LA,0.7,1.53
6,0.2,Lakeland,FL,0.86,1.91
6,0.2,Lancaster,PA,1.37,3.29
6,0.2,Lansing,MI,1.08,1.38
6,0.2,Las Vegas,NV,1.13,1.33
6,0.2,Lawton,OK,0.58,1.2
6,0.2,Lebanon,NH,0.97,1.91
6,0.2,Lexington,KY,0.66,1.23
6,0.2,Lincoln,NE,0.63,2.39
6,0.2,Little Rock,AR,0.7,1.42
6,0.2,Longview,TX,2.01,2.18
6,0.2,Los Angeles,CA,1.11,1.89
6,0.2,Louisville,KY,0.93,1.64
6,0.2,Lubbock,TX,0.83,1.07
6,0.2,Lynchburg,VA,0.52,2.45
6,0.2,Macon,GA,0.69,1.42
6,0.2,Madison,WI,1.01,1.97
6,0.2,Manchester,NH,1.24,3.14
6,0.2,Manhattan,NY,0.77,1.71
6,0.2,Marquette,MI,0.75,2.13
6,0.2,Marshfield,WI,1.19,2.72
6,0.2,Mason City,IA,0.61,3.56
6,0.2,McAllen,TX,0.68,0.8
6,0.2,Medford,OR,1.18,3.15
6,0.2,Melrose Park,IL,0.98,1.82
6,0.2,Memphis,TN,0.75,1.48
6,0.2,Meridian,MS,0.37,1.6
6,0.2,Mesa,AZ,1.5,2.32
6,0.2,Metairie,LA,1.2,2
6,0.2,Miami,FL,0.83,1.67
6,0.2,Milwaukee,WI,1.09,1.5
6,0.2,Minneapolis,MN,1.02,2.49
6,0.2,Minot,ND,0.34,3.47
6,0.2,Missoula,MT,0.89,2.48
6,0.2,Mobile,AL,0.88,1.4
6,0.2,Modesto,CA,1.27,3.39
6,0.2,Monroe,LA,0.54,1.21
6,0.2,Montgomery,AL,0.82,1.64
6,0.2,Morgantown,WV,0.59,1.29
6,0.2,Morristown,NJ,1.19,3.25
6,0.2,Muncie,IN,0.96,2.19
6,0.2,Munster,IN,0.44,1.36
6,0.2,Muskegon,MI,1.18,2.25
6,0.2,Napa,CA,1.36,1.96
6,0.2,Nashville,TN,0.81,1.2
6,0.2,Neenah,WI,1.2,2.52
6,0.2,New Brunswick,NJ,1.07,2.34
6,0.2,New Haven,CT,1.16,2.49
6,0.2,New Orleans,LA,0.61,1.03
6,0.2,Newark,NJ,0.93,1.77
6,0.2,Newport News,VA,1.38,1.86
6,0.2,Norfolk,VA,1.11,2.16
6,0.2,Ocala,FL,1.52,2.19
6,0.2,Odessa,TX,0.76,1.61
6,0.2,Ogden,UT,1.29,1.85
6,0.2,Oklahoma City,OK,0.75,1.52
6,0.2,Olympia,WA,1.61,2.35
6,0.2,Omaha,NE,0.7,1.35
6,0.2,Orange County,CA,1.26,2.26
6,0.2,Orlando,FL,0.88,1.51
6,0.2,Ormond Beach,FL,1.14,1.45
6,0.2,Owensboro,KY,0.81,1.92
6,0.2,Oxford,MS,0.39,2.38
6,0.2,Paducah,KY,0.55,1.56
6,0.2,Palm Springs/Rancho Mira,CA,0.92,2.96
6,0.2,Paterson,NJ,0.74,2.21
6,0.2,Pensacola,FL,0.89,1.67
6,0.2,Peoria,IL,0.77,1.86
6,0.2,Petoskey,MI,0.86,1.34
6,0.2,Philadelphia,PA,0.86,1.58
6,0.2,Phoenix,AZ,1.1,1.72
6,0.2,Pittsburgh,PA,0.81,1.34
6,0.2,Pontiac,MI,1.15,2.36
6,0.2,Portland,ME,0.98,2.58
6,0.2,Portland,OR,1.31,1.99
6,0.2,Providence,RI,1.22,2.02
6,0.2,Provo,UT,1.25,1.98
6,0.2,Pueblo,CO,0.64,3.07
6,0.2,Raleigh,NC,1.29,2.58
6,0.2,Rapid City,SD,0.55,2.3
6,0.2,Reading,PA,0.98,2.88
6,0.2,Redding,CA,0.99,1.58
6,0.2,Reno,NV,0.9,0.91
6,0.2,Richmond,VA,0.87,1.8
6,0.2,Ridgewood,NJ,1.16,2.43
6,0.2,Roanoke,VA,0.73,1.29
6,0.2,Rochester,MN,0.49,0.82
6,0.2,Rochester,NY,0.77,2.17
6,0.2,Rockford,IL,1.17,1.69
6,0.2,Rome,GA,0.85,1.81
6,0.2,Royal Oak,MI,0.56,1.04
6,0.2,Sacramento,CA,1.32,2.02
6,0.2,Saginaw,MI,0.58,1.5
6,0.2,Salem,OR,1.46,2.39
6,0.2,Salinas,CA,1.13,2.53
6,0.2,Salisbury,MD,1.79,4.05
6,0.2,Salt Lake City,UT,1.06,1.71
6,0.2,San Angelo,TX,0.6,2.17
6,0.2,San Antonio,TX,0.97,1.71
6,0.2,San Bernardino,CA,1.15,2
6,0.2,San Diego,CA,1.33,2.18
6,0.2,San Francisco,CA,0.93,1.72
6,0.2,San Jose,CA,1.57,2.47
6,0.2,San Luis Obispo,CA,1.54,2.43
6,0.2,San Mateo County,CA,1.19,2.01
6,0.2,Santa Barbara,CA,1.16,2.61
6,0.2,Santa Cruz,CA,1.76,6.09
6,0.2,Santa Rosa,CA,0.89,2.66
6,0.2,Sarasota,FL,0.88,1.73
6,0.2,Savannah,GA,0.95,2.59
6,0.2,Sayre,PA,0.74,1.55
6,0.2,Scranton,PA,0.92,2.46
6,0.2,Seattle,WA,1.42,2.18
6,0.2,Shreveport,LA,0.6,1.13
6,0.2,Sioux City,IA,0.6,2.02
6,0.2,Sioux Falls,SD,0.42,3.57
6,0.2,Slidell,LA,0.78,0.67
6,0.2,South Bend,IN,1.18,2.2
6,0.2,Spartanburg,SC,1.04,1.47
6,0.2,Spokane,WA,0.93,2.07
6,0.2,Springdale,AR,1.06,1.9
6,0.2,Springfield,IL,0.74,1.85
6,0.2,Springfield,MA,1.06,1.86
6,0.2,Springfield,MO,0.94,1.91
6,0.2,St. Cloud,MN,0.63,2.69
6,0.2,St. Joseph,MI,0.79,3.45
6,0.2,St. Louis,MO,0.73,1.36
6,0.2,St. Paul,MN,1.47,2.74
6,0.2,St. Petersburg,FL,0.71,1.62
6,0.2,Stockton,CA,1.39,2.23
6,0.2,Sun City,AZ,0.87,1.49
6,0.2,Syracuse,NY,0.76,2.06
6,0.2,Tacoma,WA,1.27,1.9
6,0.2,Takoma Park,MD,1.83,3.03
6,0.2,Tallahassee,FL,0.82,2.04
6,0.2,Tampa,FL,0.81,1.35
6,0.2,Temple,TX,1.13,1.44
6,0.2,Terre Haute,IN,0.84,1.33
6,0.2,Texarkana,AR,0.85,1.36
6,0.2,Toledo,OH,0.8,1.02
6,0.2,Topeka,KS,0.75,1.88
6,0.2,Traverse City,MI,0.72,4.73
6,0.2,Tucson,AZ,1.03,1.81
6,0.2,Tulsa,OK,0.71,1.33
6,0.2,Tupelo,MS,0.53,1.78
6,0.2,Tuscaloosa,AL,0.56,0.88
6,0.2,Tyler,TX,0.92,1.21
6,0.2,Urbana,IL,0.96,2.18
6,0.2,Ventura,CA,1.71,2.44
6,0.2,Victoria,TX,0.56,1.54
6,0.2,Waco,TX,1.03,2.67
6,0.2,Washington,DC,1.19,2.12
6,0.2,Waterloo,IA,0.71,2.86
6,0.2,Wausau,WI,1.06,1.31
6,0.2,White Plains,NY,0.84,2.22
6,0.2,Wichita Falls,TX,0.84,3.92
6,0.2,Wichita,KS,0.58,1.31
6,0.2,Wilkes-Barre,PA,0.86,1.22
6,0.2,Wilmington,DE,0.96,1.6
6,0.2,Wilmington,NC,1.09,2.67
6,0.2,Winchester,VA,0.93,2.54
6,0.2,Winston-Salem,NC,0.88,1.11
6,0.2,Worcester,MA,1.18,2.29
6,0.2,Yakima,WA,1.66,2.26
6,0.2,York,PA,1.11,2.66
6,0.2,Youngstown,OH,0.91,1.97
6,0.4,Akron,OH,2.25,3.55
6,0.4,Alameda County,CA,2.67,5.19
6,0.4,Albany,GA,1.24,3.13
6,0.4,Albany,NY,1.73,4.25
6,0.4,Albuquerque,NM,2.57,4.27
6,0.4,Alexandria,LA,1.35,6.21
6,0.4,Allentown,PA,1.65,3.51
6,0.4,Altoona,PA,2.4,4.82
6,0.4,Amarillo,TX,1.49,2.03
6,0.4,Anchorage,AK,1.89,4.78
6,0.4,Ann Arbor,MI,2.05,3.27
6,0.4,Appleton,WI,3.17,4.28
6,0.4,Arlington,VA,3.32,4.81
6,0.4,Asheville,NC,2.06,3.06
6,0.4,Atlanta,GA,2.15,3.58
6,0.4,Augusta,GA,1.37,1.85
6,0.4,Aurora,IL,2.53,5.04
6,0.4,Austin,TX,2.97,4.37
6,0.4,Bakersfield,CA,1.9,5.05
6,0.4,Baltimore,MD,1.61,2.84
6,0.4,Bangor,ME,1.66,4
6,0.4,Baton Rouge,LA,1.42,3.5
6,0.4,Beaumont,TX,2.19,3.75
6,0.4,Bend,OR,2.61,6.32
6,0.4,Billings,MT,1.09,3.89
6,0.4,Binghamton,NY,1.61,6.59
6,0.4,Birmingham,AL,1.36,2.17
6,0.4,Bismarck,ND,1.05,2.78
6,0.4,Bloomington,IL,2.23,5.31
6,0.4,Blue Island,IL,1.82,2.62
6,0.4,Boise,ID,2.2,4.5
6,0.4,Boston,MA,2.18,4.16
6,0.4,Boulder,CO,2.28,3.42
6,0.4,Bradenton,FL,1.9,3.42
6,0.4,Bridgeport,CT,2.21,4.86
6,0.4,Bronx,NY,1.49,4.46
6,0.4,Bryan,TX,2.16,4.08
6,0.4,Buffalo,NY,1.3,4.12
6,0.4,Burlington,VT,1.67,5.37
6,0.4,Camden,NJ,1.9,3.87
6,0.4,Canton,OH,1.94,2.94
6,0.4,Cape Girardeau,MO,1.33,3.13
6,0.4,Casper,WY,1.35,5.81
6,0.4,Cedar Rapids,IA,1.64,6.45
6,0.4,Charleston,SC,1.7,3.4
6,0.4,Charleston,WV,1.41,2.86
6,0.4,Charlotte,NC,2.29,3.08
6,0.4,Charlottesville,VA,2.02,3.75
6,0.4,Chattanooga,TN,1.65,2.8
6,0.4,Chicago,IL,1.43,2.56
6,0.4,Chico,CA,2.52,5.8
6,0.4,Cincinnati,OH,1.88,2.72
6,0.4,Clearwater,FL,1.61,3.61
6,0.4,Cleveland,OH,1.25,2.22
6,0.4,Colorado Springs,CO,2.87,5.32
6,0.4,Columbia,MO,1.66,3.4
6,0.4,Columbia,SC,1.79,2.93
6,0.4,Columbus,GA,1.4,4.37
6,0.4,Columbus,OH,2.06,4.19
6,0.4,Contra Costa County,CA,2.71,4.95
6,0.4,Corpus Christi,TX,2.15,3.13
6,0.4,Covington,KY,2.18,4.12
6,0.4,Dallas,TX,2.02,3.46
6,0.4,Danville,PA,1.62,3.42
6,0.4,Davenport,IA,1.33,3.37
6,0.4,Dayton,OH,2.24,3.43
6,0.4,Dearborn,MI,1.48,2.44
6,0.4,Denver,CO,2.33,3.26
6,0.4,Des Moines,IA,1.75,6.01
6,0.4,Detroit,MI,1.77,3.09
6,0.4,Dothan,AL,1.23,3.31
6,0.4,Dubuque,IA,1.37,8.61
6,0.4,Duluth,MN,1.18,1.57
6,0.4,Durham,NC,1.36,1.68
6,0.4,East Long Island,NY,2.14,4.93
6,0.4,El Paso,TX,2.22,3.59
6,0.4,Elgin,IL,2.7,4.99
6,0.4,Elmira,NY,1.39,3.36
6,0.4,Elyria,OH,2.49,3.9
6,0.4,Erie,PA,1.67,3.79
6,0.4,Eugene,OR,2.83,5.44
6,0.4,Evanston,IL,1.98,2.65
6,0.4,Evansville,IN,1.38,1.98
6,0.4,Everett,WA,3.17,7.81
6,0.4,Fargo/Moorhead MN,ND,1.29,2.92
6,0.4,Flint,MI,1.74,3.22
6,0.4,Florence,SC,1.3,1.58
6,0.4,Fort Collins,CO,2.24,10.77
6,0.4,Fort Lauderdale,FL,1.87,3.36
6,0.4,Fort Myers,FL,2.06,5.55
6,0.4,Fort Smith,AR,1.7,3.99
6,0.4,Fort Wayne,IN,1.49,2.09
6,0.4,Fort Worth,TX,2.3,4.06
6,0.4,Fresno,CA,2.6,5.17
6,0.4,Gainesville,FL,1.42,1.86
6,0.4,Gary,IN,1.53,2.65
6,0.4,Grand Forks,ND,0.76,5.03
6,0.4,Grand Junction,CO,2.18,4.39
6,0.4,Grand Rapids,MI,2.12,4.68
6,0.4,Great Falls,MT,0.69,2.82
6,0.4,Greeley,CO,2.06,4.43
6,0.4,Green Bay,WI,2.29,4.41
6,0.4,Greensboro,NC,2.3,4.5
6,0.4,Greenville,NC,1.92,2.41
6,0.4,Greenville,SC,1.88,3.2
6,0.4,Gulfport,MS,1.45,2.35
6,0.4,Hackensack,NJ,1.52,7.14
6,0.4,Harlingen,TX,2.02,4.13
6,0.4,Harrisburg,PA,1.92,4.81
6,0.4,Hartford,CT,2.34,4.48
6,0.4,Hattiesburg,MS,0.86,3.38
6,0.4,Hickory,NC,2.14,4.42
6,0.4,Hinsdale,IL,2.04,2.63
6,0.4,Honolulu,HI,2.38,6.21
6,0.4,Houma,LA,1.61,3.75
6,0.4,Houston,TX,2.04,3.36
6,0.4,Hudson,FL,1.74,2.96
6,0.4,Huntington,WV,1,2.11
6,0.4,Huntsville,AL,1.56,2.45
6,0.4,Idaho Falls,ID,1.9,4.5
6,0.4,Indianapolis,IN,1.67,2.46
6,0.4,Iowa City,IA,1.1,2.27
6,0.4,Jackson,MS,1,2.33
6,0.4,Jackson,TN,1.36,2.76
6,0.4,Jacksonville,FL,1.5,2.58
6,0.4,Johnson City,TN,1.38,3.07
6,0.4,Johnstown,PA,1.32,4.98
6,0.4,Joliet,IL,2.07,4.07
6,0.4,Jonesboro,AR,1.07,2.96
6,0.4,Joplin,MO,1.53,2.81
6,0.4,Kalamazoo,MI,1.98,4.51
6,0.4,Kansas City,MO,1.6,2.91
6,0.4,Kettering,OH,2.04,2.97
6,0.4,Kingsport,TN,1.44,2.57
6,0.4,Knoxville,TN,1.96,4.58
6,0.4,La Crosse,WI,2.42,4.38
6,0.4,Lafayette,IN,2.39,6.76
6,0.4,Lafayette,LA,1.54,2.99
6,0.4,Lake Charles,LA,1.4,3.06
6,0.4,Lakeland,FL,1.71,3.83
6,0.4,Lancaster,PA,2.74,6.57
6,0.4,Lansing,MI,2.15,2.77
6,0.4,Las Vegas,NV,2.27,2.66
6,0.4,Lawton,OK,1.15,2.38
6,0.4,Lebanon,NH,1.94,3.83
6,0.4,Lexington,KY,1.31,2.46
6,0.4,Lincoln,NE,1.25,4.78
6,0.4,Little Rock,AR,1.4,2.84
6,0.4,Longview,TX,4.03,4.33
6,0.4,Los Angeles,CA,2.21,3.77
6,0.4,Louisville,KY,1.85,3.28
6,0.4,Lubbock,TX,1.66,2.14
6,0.4,Lynchburg,VA,1.05,4.89
6,0.4,Macon,GA,1.38,2.84
6,0.4,Madison,WI,2.01,3.94
6,0.4,Manchester,NH,2.49,6.28
6,0.4,Manhattan,NY,1.55,3.43
6,0.4,Marquette,MI,1.51,4.28
6,0.4,Marshfield,WI,2.38,5.44
6,0.4,Mason City,IA,1.23,7.17
6,0.4,McAllen,TX,1.37,1.59
6,0.4,Medford,OR,2.36,6.29
6,0.4,Melrose Park,IL,1.96,3.64
6,0.4,Memphis,TN,1.49,2.97
6,0.4,Meridian,MS,0.74,3.18
6,0.4,Mesa,AZ,3.01,4.64
6,0.4,Metairie,LA,2.39,4
6,0.4,Miami,FL,1.67,3.34
6,0.4,Milwaukee,WI,2.18,3.01
6,0.4,Minneapolis,MN,2.05,4.98
6,0.4,Minot,ND,0.68,6.89
6,0.4,Missoula,MT,1.78,4.97
6,0.4,Mobile,AL,1.76,2.79
6,0.4,Modesto,CA,2.54,6.77
6,0.4,Monroe,LA,1.07,2.42
6,0.4,Montgomery,AL,1.63,3.27
6,0.4,Morgantown,WV,1.19,2.58
6,0.4,Morristown,NJ,2.38,6.5
6,0.4,Muncie,IN,1.92,4.36
6,0.4,Munster,IN,0.89,2.71
6,0.4,Muskegon,MI,2.35,4.51
6,0.4,Napa,CA,2.73,3.93
6,0.4,Nashville,TN,1.61,2.41
6,0.4,Neenah,WI,2.4,5.07
6,0.4,New Brunswick,NJ,2.15,4.69
6,0.4,New Haven,CT,2.33,4.99
6,0.4,New Orleans,LA,1.22,2.06
6,0.4,Newark,NJ,1.86,3.54
6,0.4,Newport News,VA,2.75,3.71
6,0.4,Norfolk,VA,2.21,4.33
6,0.4,Ocala,FL,3.05,4.37
6,0.4,Odessa,TX,1.53,3.22
6,0.4,Ogden,UT,2.58,3.68
6,0.4,Oklahoma City,OK,1.49,3.04
6,0.4,Olympia,WA,3.23,4.69
6,0.4,Omaha,NE,1.4,2.69
6,0.4,Orange County,CA,2.52,4.51
6,0.4,Orlando,FL,1.77,3.02
6,0.4,Ormond Beach,FL,2.29,2.89
6,0.4,Owensboro,KY,1.62,3.83
6,0.4,Oxford,MS,0.78,4.79
6,0.4,Paducah,KY,1.11,3.11
6,0.4,Palm Springs/Rancho Mira,CA,1.84,5.91
6,0.4,Paterson,NJ,1.48,4.42
6,0.4,Pensacola,FL,1.78,3.35
6,0.4,Peoria,IL,1.53,3.71
6,0.4,Petoskey,MI,1.72,2.69
6,0.4,Philadelphia,PA,1.73,3.16
6,0.4,Phoenix,AZ,2.2,3.45
6,0.4,Pittsburgh,PA,1.62,2.68
6,0.4,Pontiac,MI,2.29,4.72
6,0.4,Portland,ME,1.95,5.16
6,0.4,Portland,OR,2.62,3.98
6,0.4,Providence,RI,2.44,4.03
6,0.4,Provo,UT,2.49,3.97
6,0.4,Pueblo,CO,1.27,6.14
6,0.4,Raleigh,NC,2.57,5.16
6,0.4,Rapid City,SD,1.11,4.61
6,0.4,Reading,PA,1.97,5.76
6,0.4,Redding,CA,1.99,3.16
6,0.4,Reno,NV,1.8,1.82
6,0.4,Richmond,VA,1.74,3.6
6,0.4,Ridgewood,NJ,2.31,4.88
6,0.4,Roanoke,VA,1.47,2.58
6,0.4,Rochester,MN,0.98,1.64
6,0.4,Rochester,NY,1.54,4.33
6,0.4,Rockford,IL,2.35,3.39
6,0.4,Rome,GA,1.69,3.64
6,0.4,Royal Oak,MI,1.12,2.09
6,0.4,Sacramento,CA,2.63,4.03
6,0.4,Saginaw,MI,1.17,2.99
6,0.4,Salem,OR,2.92,4.8
6,0.4,Salinas,CA,2.25,5.06
6,0.4,Salisbury,MD,3.57,8.1
6,0.4,Salt Lake City,UT,2.13,3.41
6,0.4,San Angelo,TX,1.21,4.37
6,0.4,San Antonio,TX,1.93,3.43
6,0.4,San Bernardino,CA,2.31,4
6,0.4,San Diego,CA,2.67,4.35
6,0.4,San Francisco,CA,1.87,3.44
6,0.4,San Jose,CA,3.13,4.94
6,0.4,San Luis Obispo,CA,3.08,4.85
6,0.4,San Mateo County,CA,2.38,4.02
6,0.4,Santa Barbara,CA,2.32,5.21
6,0.4,Santa Cruz,CA,3.52,12.18
6,0.4,Santa Rosa,CA,1.78,5.31
6,0.4,Sarasota,FL,1.75,3.46
6,0.4,Savannah,GA,1.91,5.18
6,0.4,Sayre,PA,1.47,3.1
6,0.4,Scranton,PA,1.85,4.94
6,0.4,Seattle,WA,2.84,4.36
6,0.4,Shreveport,LA,1.2,2.27
6,0.4,Sioux City,IA,1.21,4.03
6,0.4,Sioux Falls,SD,0.83,7.16
6,0.4,Slidell,LA,1.57,1.34
6,0.4,South Bend,IN,2.36,4.39
6,0.4,Spartanburg,SC,2.09,2.94
6,0.4,Spokane,WA,1.85,4.14
6,0.4,Springdale,AR,2.11,3.81
6,0.4,Springfield,IL,1.48,3.7
6,0.4,Springfield,MA,2.11,3.72
6,0.4,Springfield,MO,1.88,3.82
6,0.4,St. Cloud,MN,1.26,5.38
6,0.4,St. Joseph,MI,1.59,6.85
6,0.4,St. Louis,MO,1.46,2.72
6,0.4,St. Paul,MN,2.94,5.48
6,0.4,St. Petersburg,FL,1.42,3.24
6,0.4,Stockton,CA,2.78,4.46
6,0.4,Sun City,AZ,1.74,2.97
6,0.4,Syracuse,NY,1.52,4.12
6,0.4,Tacoma,WA,2.54,3.81
6,0.4,Takoma Park,MD,3.65,6.05
6,0.4,Tallahassee,FL,1.65,4.08
6,0.4,Tampa,FL,1.62,2.7
6,0.4,Temple,TX,2.26,2.88
6,0.4,Terre Haute,IN,1.67,2.64
6,0.4,Texarkana,AR,1.7,2.7
6,0.4,Toledo,OH,1.6,2.03
6,0.4,Topeka,KS,1.5,3.77
6,0.4,Traverse City,MI,1.45,9.46
6,0.4,Tucson,AZ,2.06,3.62
6,0.4,Tulsa,OK,1.43,2.65
6,0.4,Tupelo,MS,1.05,3.57
6,0.4,Tuscaloosa,AL,1.11,1.77
6,0.4,Tyler,TX,1.84,2.41
6,0.4,Urbana,IL,1.92,4.35
6,0.4,Ventura,CA,3.41,4.88
6,0.4,Victoria,TX,1.13,3.07
6,0.4,Waco,TX,2.05,5.33
6,0.4,Washington,DC,2.37,4.25
6,0.4,Waterloo,IA,1.41,5.69
6,0.4,Wausau,WI,2.12,2.63
6,0.4,White Plains,NY,1.68,4.44
6,0.4,Wichita Falls,TX,1.67,7.79
6,0.4,Wichita,KS,1.16,2.61
6,0.4,Wilkes-Barre,PA,1.73,2.42
6,0.4,Wilmington,DE,1.91,3.2
6,0.4,Wilmington,NC,2.17,5.34
6,0.4,Winchester,VA,1.87,5.08
6,0.4,Winston-Salem,NC,1.76,2.21
6,0.4,Worcester,MA,2.37,4.59
6,0.4,Yakima,WA,3.31,4.52
6,0.4,York,PA,2.22,5.3
6,0.4,Youngstown,OH,1.81,3.96
6,0.6,Akron,OH,3.38,5.33
6,0.6,Alameda County,CA,4,7.78
6,0.6,Albany,GA,1.86,4.7
6,0.6,Albany,NY,2.59,6.37
