State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Proejcted Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months",  ,"Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
GA,"23,831","2,703",0.7,0.72,"7,210","15,520",752,"1,728","7,702,432","1,300,430","1,540,486","317,401","67,348","21,160",2.93 ,1.36 ,0.89 ,10580.00 ,1.47 ,0.68 ,0.44 ,"6,900",0.96 ,0.44 ,0.29 ,"4,490",5.97 ,2.60 ,1.66 ,"2,245",2.99 ,1.30 ,0.83 ,"1,464",1.95 ,0.85 ,0.54 
HI,"2,623",219,0.7,0.67,795,"1,709",73,146,"1,114,075","238,126","222,815","46,859","10,193","3,124",3.93 ,1.83 ,1.19 ,1562.00 ,1.96 ,0.91 ,0.60 ,"1,019",1.28 ,0.60 ,0.39 ,680,9.32 ,4.66 ,3.11 ,340,4.66 ,2.33 ,1.55 ,222,3.04 ,1.52 ,1.01 
IA,"9,309",622,0.56,0.53,"4,100","6,705",293,458,"2,389,398","501,026","477,880","100,317","21,773","6,688",1.63 ,1.00 ,0.72 ,3344.00 ,0.82 ,0.50 ,0.36 ,"2,181",0.53 ,0.33 ,0.23 ,"1,452",4.96 ,3.17 ,2.33 ,726,2.48 ,1.59 ,1.17 ,473,1.61 ,1.03 ,0.76 
ID,"3,267",333,0.51,0.53,"1,607","2,437",155,244,"1,222,764","242,449","244,553","51,072","11,016","3,405",2.12 ,1.40 ,1.04 ,1702.00 ,1.06 ,0.70 ,0.52 ,"1,110",0.69 ,0.46 ,0.34 ,734,4.74 ,3.01 ,2.20 ,367,2.37 ,1.50 ,1.10 ,239,1.54 ,0.98 ,0.72 
IL,"30,006","3,426",0.58,0.59,"12,580","21,293","1,410","2,418","9,895,529","1,847,932","1,979,106","411,141","88,123","27,409",2.18 ,1.29 ,0.91 ,13705.00 ,1.09 ,0.64 ,0.46 ,"8,938",0.71 ,0.42 ,0.30 ,"5,875",4.17 ,2.43 ,1.71 ,"2,937",2.08 ,1.21 ,0.86 ,"1,916",1.36 ,0.79 ,0.56 
IN,"17,433","2,358",0.56,0.59,"7,685","12,559",974,"1,666","5,036,563","968,568","1,007,313","209,792","45,105","13,986",1.82 ,1.11 ,0.80 ,6993.00 ,0.91 ,0.56 ,0.40 ,"4,561",0.59 ,0.36 ,0.26 ,"3,007",3.09 ,1.80 ,1.28 ,"1,504",1.54 ,0.90 ,0.64 ,981,1.01 ,0.59 ,0.42 
KS,"9,120",878,0.53,0.55,"4,310","6,715",391,634,"2,185,546","426,273","437,109","91,150","19,627","6,077",1.41 ,0.90 ,0.67 ,3038.00 ,0.70 ,0.45 ,0.33 ,"1,982",0.46 ,0.30 ,0.22 ,"1,308",3.35 ,2.06 ,1.49 ,654,1.67 ,1.03 ,0.74 ,427,1.09 ,0.67 ,0.49 
KY,"13,150","1,447",0.6,0.65,"5,291","9,220",504,976,"3,411,784","672,706","682,357","142,429","30,704","9,495",1.79 ,1.03 ,0.72 ,4748.00 ,0.90 ,0.51 ,0.36 ,"3,096",0.59 ,0.34 ,0.24 ,"2,047",4.06 ,2.10 ,1.41 ,"1,023",2.03 ,1.05 ,0.71 ,667,1.32 ,0.68 ,0.46 
LA,"13,881","1,518",0.57,0.58,"5,990","9,936",632,"1,075","3,550,728","655,848","710,146","147,389","31,555","9,826",1.64 ,0.99 ,0.71 ,4913.00 ,0.82 ,0.49 ,0.35 ,"3,204",0.53 ,0.32 ,0.23 ,"2,104",3.33 ,1.96 ,1.39 ,"1,052",1.66 ,0.98 ,0.69 ,686,1.09 ,0.64 ,0.45 
MA,"13,759","1,555",0.74,0.63,"3,603","8,681",571,"1,063","5,405,787","1,049,751","1,081,157","225,365","48,504","15,024",4.17 ,1.73 ,1.09 ,7512.00 ,2.08 ,0.87 ,0.55 ,"4,899",1.36 ,0.56 ,0.36 ,"3,234",5.66 ,3.04 ,2.08 ,"1,617",2.83 ,1.52 ,1.04 ,"1,054",1.85 ,0.99 ,0.68 
MD,"11,249","1,227",0.71,0.66,"3,296","7,273",422,825,"4,648,466","849,185","929,693","192,776","41,226","12,852",3.90 ,1.77 ,1.14 ,6426.00 ,1.95 ,0.88 ,0.57 ,"4,191",1.27 ,0.58 ,0.37 ,"2,748",6.51 ,3.33 ,2.24 ,"1,374",3.26 ,1.67 ,1.12 ,896,2.12 ,1.09 ,0.73 
ME,"3,310",288,0.7,0.63,980,"2,145",107,198,"1,073,331","250,131","214,666","45,539","10,007","3,036",3.10 ,1.42 ,0.92 ,1518.00 ,1.55 ,0.71 ,0.46 ,990,1.01 ,0.46 ,0.30 ,667,6.23 ,3.37 ,2.32 ,334,3.12 ,1.69 ,1.16 ,218,2.04 ,1.10 ,0.76 
MI,"24,286","2,749",0.64,0.64,"8,855","16,571",976,"1,863","7,717,047","1,575,233","1,543,409","323,177","69,934","21,545",2.43 ,1.30 ,0.89 ,10773.00 ,1.22 ,0.65 ,0.44 ,"7,026",0.79 ,0.42 ,0.29 ,"4,662",4.78 ,2.50 ,1.70 ,"2,331",2.39 ,1.25 ,0.85 ,"1,520",1.56 ,0.82 ,0.55 
MN,"13,423","1,277",0.66,0.65,"4,605","9,014",452,864,"4,204,388","803,718","840,878","175,037","37,609","11,669",2.53 ,1.29 ,0.87 ,5835.00 ,1.27 ,0.65 ,0.43 ,"3,805",0.83 ,0.42 ,0.28 ,"2,507",5.55 ,2.90 ,1.96 ,"1,254",2.77 ,1.45 ,0.98 ,818,1.81 ,0.95 ,0.64 
MO,"17,087","2,092",0.6,0.58,"6,884","11,985",874,"1,483","4,685,891","956,032","937,178","196,228","42,460","13,082",1.90 ,1.09 ,0.77 ,6541.00 ,0.95 ,0.55 ,0.38 ,"4,266",0.62 ,0.36 ,0.25 ,"2,831",3.24 ,1.91 ,1.35 ,"1,415",1.62 ,0.95 ,0.68 ,923,1.06 ,0.62 ,0.44 
MS,"11,877",931,0.56,0.58,"5,255","8,566",392,661,"2,259,919","437,027","451,984","94,180","20,261","6,279",1.19 ,0.73 ,0.53 ,3139.00 ,0.60 ,0.37 ,0.26 ,"2,047",0.39 ,0.24 ,0.17 ,"1,351",3.45 ,2.04 ,1.45 ,675,1.72 ,1.02 ,0.73 ,440,1.12 ,0.67 ,0.47 
MT,"3,667",248,0.58,0.55,"1,541","2,604",113,180,"803,704","176,138","160,741","33,887","7,392","2,259",1.47 ,0.87 ,0.62 ,1130.00 ,0.73 ,0.43 ,0.31 ,737,0.48 ,0.28 ,0.20 ,493,4.36 ,2.74 ,1.99 ,246,2.18 ,1.37 ,0.99 ,161,1.42 ,0.89 ,0.65 
NC,"21,065","3,168",0.7,0.71,"6,288","13,676",911,"2,040","7,762,882","1,514,937","1,552,576","323,773","69,720","21,585",3.43 ,1.58 ,1.02 ,10792.00 ,1.72 ,0.79 ,0.51 ,"7,039",1.12 ,0.51 ,0.33 ,"4,648",5.10 ,2.28 ,1.47 ,"2,324",2.55 ,1.14 ,0.73 ,"1,516",1.66 ,0.74 ,0.48 
ND,"3,371",278,0.58,0.66,"1,420","2,395",95,187,"575,105","107,196","115,021","23,891","5,120","1,593",1.12 ,0.67 ,0.47 ,796.00 ,0.56 ,0.33 ,0.24 ,519,0.37 ,0.22 ,0.15 ,341,3.59 ,1.82 ,1.23 ,171,1.80 ,0.91 ,0.62 ,111,1.17 ,0.59 ,0.40 
NE,"5,872",548,0.55,0.63,"2,630","4,251",202,375,"1,424,102","278,598","284,820","59,409","12,796","3,961",1.51 ,0.93 ,0.67 ,1980.00 ,0.75 ,0.47 ,0.34 ,"1,292",0.49 ,0.30 ,0.22 ,853,4.22 ,2.27 ,1.56 ,427,2.11 ,1.14 ,0.78 ,278,1.38 ,0.74 ,0.51 
NH,"2,598",252,0.64,0.56,939,"1,768",110,181,"1,067,991","219,293","213,598","44,750","9,690","2,983",3.18 ,1.69 ,1.15 ,1492.00 ,1.59 ,0.84 ,0.57 ,973,1.04 ,0.55 ,0.37 ,646,5.87 ,3.57 ,2.56 ,323,2.94 ,1.78 ,1.28 ,211,1.92 ,1.17 ,0.84 
NJ,"20,450","1,891",0.67,0.55,"6,688","13,569",846,"1,368","6,960,340","1,353,999","1,392,068","290,219","62,473","19,348",2.89 ,1.43 ,0.95 ,9674.00 ,1.45 ,0.71 ,0.47 ,"6,309",0.94 ,0.46 ,0.31 ,"4,165",4.92 ,3.04 ,2.20 ,"2,082",2.46 ,1.52 ,1.10 ,"1,358",1.61 ,0.99 ,0.72 
NM,"3,460",460,0.6,0.59,"1,368","2,414",188,324,"1,587,101","328,682","317,420","66,555","14,425","4,437",3.24 ,1.84 ,1.28 ,2218.00 ,1.62 ,0.92 ,0.64 ,"1,447",1.06 ,0.60 ,0.42 ,962,5.12 ,2.97 ,2.09 ,481,2.56 ,1.48 ,1.05 ,314,1.67 ,0.97 ,0.68 
NV,"5,610","1,118",0.72,0.78,"1,548","3,579",248,683,"2,217,723","420,330","443,545","92,260","19,805","6,151",3.97 ,1.72 ,1.10 ,3075.00 ,1.99 ,0.86 ,0.55 ,"2,006",1.30 ,0.56 ,0.36 ,"1,320",5.32 ,1.93 ,1.18 ,660,2.66 ,0.97 ,0.59 ,431,1.74 ,0.63 ,0.39 
NY,"51,713","4,420",0.78,0.62,"11,549","31,631","1,670","3,045","15,594,924","3,008,351","3,118,985","649,766","139,746","43,318",3.75 ,1.37 ,0.84 ,21659.00 ,1.88 ,0.68 ,0.42 ,"14,125",1.22 ,0.45 ,0.27 ,"9,316",5.58 ,3.06 ,2.11 ,"4,658",2.79 ,1.53 ,1.05 ,"3,038",1.82 ,1.00 ,0.69 
OH,"28,127","3,622",0.59,0.64,"11,419","19,773","1,297","2,459","8,982,588","1,844,642","1,796,518","376,387","81,502","25,092",2.20 ,1.27 ,0.89 ,12546.00 ,1.10 ,0.63 ,0.45 ,"8,182",0.72 ,0.41 ,0.29 ,"5,433",4.19 ,2.21 ,1.50 ,"2,717",2.09 ,1.10 ,0.75 ,"1,772",1.37 ,0.72 ,0.49 
OK,"10,781","1,164",0.56,0.63,"4,786","7,783",427,796,"2,939,976","574,330","587,995","122,631","26,410","8,175",1.71 ,1.05 ,0.76 ,4088.00 ,0.85 ,0.53 ,0.38 ,"2,666",0.56 ,0.34 ,0.25 ,"1,761",4.12 ,2.21 ,1.51 ,880,2.06 ,1.11 ,0.76 ,574,1.34 ,0.72 ,0.49 
OR,"6,789",837,0.63,0.6,"2,483","4,636",336,587,"3,160,871","655,089","632,174","132,560","28,734","8,837",3.56 ,1.91 ,1.30 ,4419.00 ,1.78 ,0.95 ,0.65 ,"2,882",1.16 ,0.62 ,0.42 ,"1,916",5.70 ,3.26 ,2.29 ,958,2.85 ,1.63 ,1.14 ,625,1.86 ,1.06 ,0.75 
PA,"32,817","3,643",0.64,0.61,"11,721","22,269","1,427","2,535","10,101,588","2,181,022","2,020,318","425,300","92,617","28,353",2.42 ,1.27 ,0.86 ,14177.00 ,1.21 ,0.64 ,0.43 ,"9,246",0.79 ,0.42 ,0.28 ,"6,174",4.33 ,2.44 ,1.69 ,"3,087",2.16 ,1.22 ,0.85 ,"2,013",1.41 ,0.79 ,0.55 
PR,"7,769",739,0.57,0.64,"3,355","5,562",262,501,"2,737,636","629,621","547,527","115,993","25,448","7,733",2.30 ,1.39 ,1.00 ,3866.00 ,1.15 ,0.70 ,0.50 ,"2,522",0.75 ,0.45 ,0.32 ,"1,697",6.48 ,3.39 ,2.30 ,848,3.24 ,1.69 ,1.15 ,553,2.11 ,1.10 ,0.75 
RI,"2,117",279,0.7,0.72,644,"1,381",77,178,"845,556","170,144","169,111","35,364","7,640","2,358",3.66 ,1.71 ,1.11 ,1179.00 ,1.83 ,0.85 ,0.56 ,769,1.19 ,0.56 ,0.36 ,509,6.61 ,2.86 ,1.82 ,255,3.31 ,1.43 ,0.91 ,166,2.16 ,0.93 ,0.59 
SC,"11,457","1,459",0.65,0.68,"4,066","7,762",469,964,"3,802,489","795,256","760,498","159,604","34,631","10,640",2.62 ,1.37 ,0.93 ,5320.00 ,1.31 ,0.69 ,0.46 ,"3,470",0.85 ,0.45 ,0.30 ,"2,309",4.92 ,2.40 ,1.58 ,"1,154",2.46 ,1.20 ,0.79 ,753,1.61 ,0.78 ,0.52 
SD,"4,247",150,0.61,0.5,"1,663","2,955",75,112,"644,483","132,118","128,897","27,001","5,846","1,800",1.08 ,0.61 ,0.42 ,900.00 ,0.54 ,0.30 ,0.21 ,587,0.35 ,0.20 ,0.14 ,390,5.20 ,3.48 ,2.60 ,195,2.60 ,1.74 ,1.30 ,127,1.69 ,1.13 ,0.85 
TN,"18,401","2,309",0.63,0.74,"6,723","12,562",603,"1,456","5,099,734","1,013,356","1,019,947","213,044","45,966","14,203",2.11 ,1.13 ,0.77 ,7101.00 ,1.06 ,0.57 ,0.39 ,"4,631",0.69 ,0.37 ,0.25 ,"3,064",5.08 ,2.10 ,1.33 ,"1,532",2.54 ,1.05 ,0.66 ,999,1.66 ,0.69 ,0.43 
TX,"55,588","7,149",0.61,0.64,"21,803","38,695","2,573","4,861","20,206,495","3,215,906","4,041,299","828,949","174,914","55,263",2.53 ,1.43 ,0.99 ,27632.00 ,1.27 ,0.71 ,0.50 ,"18,021",0.83 ,0.47 ,0.32 ,"11,661",4.53 ,2.40 ,1.63 ,"5,830",2.27 ,1.20 ,0.82 ,"3,802",1.48 ,0.78 ,0.53 
UT,"4,869",687,0.57,0.52,"2,116","3,493",328,507,"2,082,530","307,095","416,506","84,971","17,807","5,665",2.68 ,1.62 ,1.16 ,2832.00 ,1.34 ,0.81 ,0.58 ,"1,847",0.87 ,0.53 ,0.38 ,"1,187",3.62 ,2.34 ,1.73 ,594,1.81 ,1.17 ,0.86 ,387,1.18 ,0.76 ,0.56 
VA,"17,469","2,007",0.69,0.65,"5,373","11,421",698,"1,353","6,499,678","1,187,867","1,299,936","269,557","57,648","17,970",3.34 ,1.57 ,1.03 ,8985.00 ,1.67 ,0.79 ,0.51 ,"5,860",1.09 ,0.51 ,0.34 ,"3,843",5.51 ,2.84 ,1.91 ,"1,922",2.75 ,1.42 ,0.96 ,"1,253",1.80 ,0.93 ,0.62 
VT,"1,305",94,0.64,0.45,475,890,52,73,"504,856","109,551","100,971","21,266","4,634","1,418",2.99 ,1.59 ,1.09 ,709.00 ,1.49 ,0.80 ,0.54 ,462,0.97 ,0.52 ,0.35 ,309,5.94 ,4.23 ,3.29 ,154,2.96 ,2.11 ,1.64 ,101,1.94 ,1.38 ,1.07 
WA,"11,808","1,493",0.65,0.65,"4,123","7,966",525,"1,009","5,554,591","1,029,040","1,110,918","230,626","49,391","15,375",3.73 ,1.93 ,1.30 ,7688.00 ,1.86 ,0.97 ,0.65 ,"5,014",1.22 ,0.63 ,0.42 ,"3,293",6.27 ,3.26 ,2.21 ,"1,646",3.14 ,1.63 ,1.10 ,"1,074",2.05 ,1.06 ,0.72 
WI,"11,669","1,506",0.58,0.55,"4,850","8,260",676,"1,091","4,469,267","896,724","893,853","186,870","40,361","12,458",2.57 ,1.51 ,1.07 ,6229.00 ,1.28 ,0.75 ,0.53 ,"4,062",0.84 ,0.49 ,0.35 ,"2,691",3.98 ,2.47 ,1.79 ,"1,345",1.99 ,1.23 ,0.89 ,877,1.30 ,0.80 ,0.58 
WV,"6,224",643,0.6,0.65,"2,466","4,345",223,433,"1,459,974","336,326","291,995","61,869","13,576","4,125",1.67 ,0.95 ,0.66 ,2062.00 ,0.84 ,0.47 ,0.33 ,"1,345",0.55 ,0.31 ,0.22 ,905,4.06 ,2.09 ,1.41 ,453,2.03 ,1.05 ,0.70 ,295,1.32 ,0.68 ,0.46 
WY,"1,951",102,0.52,0.36,931,"1,441",65,84,"444,842","84,239","88,968","18,504","3,972","1,234",1.33 ,0.86 ,0.63 ,617.00 ,0.66 ,0.43 ,0.32 ,402,0.43 ,0.28 ,0.21 ,265,4.08 ,3.15 ,2.60 ,132,2.03 ,1.57 ,1.29 ,86,1.32 ,1.02 ,0.84 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
